City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,san patricio,28.017,-97.5169,85.86,69,100,7.9,US,1699561828
83,kayangel,8.0823,134.7173,84.2,73,38,12.93,PW,1699561830
84,flying fish cove,-10.4217,105.6791,78.48,88,75,5.75,CX,1699561832
85,la passe,45.5549,-0.8967,53.83,76,100,26.93,FR,1699561834
86,tazovsky,67.4667,78.7,24.64,87,100,19.04,RU,1699561836
87,west island,-12.1568,96.8225,78.78,89,40,11.5,CC,1699561561
88,christchurch,-43.5333,172.6333,55.42,65,100,5.75,NZ,1699561714
89,parakou,9.3372,2.6303,84.31,49,95,5.93,BJ,1699561842
90,samaniego,1.3385,-77.5957,78.51,86,100,3.83,CO,1699561844
91,west bay,19.3667,-81.4167,87.87,78,20,12.66,KY,1699561846
92,jining,35.405,116.5814,39.47,39,3,8.9,CN,1699561848
93,jiangzi,28.95,89.6333,22.64,70,1,5.91,CN,1699561850
94,kidal,18.4411,1.4078,83.82,11,1,6.06,ML,1699561577
95,jiazi,22.8779,116.067,74.82,82,91,6.15,CN,1699561853
96,haikou,20.0458,110.3417,77.13,100,75,2.24,CN,1699561855
97,punta arenas,-53.15,-70.9167,53.62,37,75,23.02,CL,1699561825
98,westerland,54.9079,8.3033,48.22,87,100,13.8,DE,1699561859
99,morehead city,34.7229,-76.726,78.03,74,0,17.27,US,1699561755
100,barma,8.35,-11.3333,73.38,98,83,1.12,SL,1699561863
101,grand gaube,-20.0064,57.6608,77.38,74,84,1.01,MU,1699561865
102,taroudant,30.4703,-8.877,66.63,40,65,0.78,MA,1699561868
103,vernon,50.2581,-119.2691,46.62,87,100,3.44,CA,1699561818
104,sao joao da barra,-21.6403,-41.0511,82.49,77,0,17.13,BR,1699561530
105,rehoboth,-23.3167,17.0833,75.88,19,0,7.96,NA,1699561873
106,melfort,52.8667,-104.6177,30.33,86,100,4.61,CA,1699561875
107,port isabel,26.0734,-97.2086,87.89,76,100,17.27,US,1699561878
108,las vegas,36.175,-115.1372,67.12,17,0,28.01,US,1699561270
109,ciudad lazaro cardenas,17.9583,-102.2,84.87,73,9,8.3,MX,1699561883
110,caleta de carquin,-11.0925,-77.6267,70.77,73,13,11.01,PE,1699561884
111,zhangye,38.9342,100.4517,33.31,38,30,5.59,CN,1699561886
112,puerto ayora,-0.7393,-90.3518,84.16,97,82,11.99,EC,1699561888
113,dukhan,25.4297,50.7858,78.58,69,0,6.78,QA,1699561891
114,grand falls-windsor,48.9332,-55.6649,35.51,92,100,7.0,CA,1699561894
115,yerofey pavlovich,53.9667,121.9667,1.83,78,28,3.62,RU,1699561895
116,nova russas,-4.7067,-40.5631,93.13,24,7,7.85,BR,1699561897
117,port alfred,-33.5906,26.891,58.17,94,2,6.35,ZA,1699561899
118,acarau,-2.8856,-40.12,81.28,74,94,20.96,BR,1699561270
119,saint-francois,46.4154,3.9054,51.24,78,75,8.05,FR,1699561902
120,nouadhibou,20.931,-17.0347,67.98,77,26,14.97,MR,1699561905
121,nyrob,60.733,56.7202,37.13,97,100,5.77,RU,1699561907
122,hammerfest,70.6634,23.6821,32.45,80,40,9.22,NO,1699561911
123,uttar char fasson,22.2332,90.7132,72.72,70,4,8.43,BD,1699561913
124,isafjordur,66.0755,-23.124,36.63,74,95,7.02,IS,1699561536
125,mugia,43.1041,-9.2179,56.91,75,100,17.31,ES,1699561917
126,avarua,-21.2078,-159.775,78.85,78,96,10.36,CK,1699561505
127,gazli,40.1333,63.45,51.71,50,85,10.38,UZ,1699561921
128,puerto natales,-51.7236,-72.4875,55.85,38,20,34.52,CL,1699561926
129,porto novo,6.4965,2.6036,82.22,82,87,7.72,BJ,1699561739
130,nar'yan-mar,67.6713,53.087,33.12,100,100,8.99,RU,1699561930
131,pacora,9.0833,-79.2833,86.2,79,40,13.8,PA,1699561931
132,ola,59.5833,151.2833,-0.94,85,5,10.33,RU,1699561932
133,ocean city,39.2776,-74.5746,73.58,68,17,7.9,US,1699561933
134,birao,10.2849,22.7882,79.84,60,89,7.18,CF,1699561935
135,laojunmiao,39.8333,97.7333,32.13,37,100,0.58,CN,1699561937
136,aasiaat,68.7098,-52.8699,17.47,93,98,11.59,GL,1699561940
137,dwarka,22.2394,68.9678,80.71,68,0,7.4,IN,1699561942
138,dakhla,23.6848,-15.958,68.02,83,0,21.85,EH,1699561829
139,hami,42.8,93.45,35.71,28,0,1.57,CN,1699561944
140,garachico,28.7781,-17.7646,68.11,73,75,14.97,ES,1699561946
141,puerto armuelles,8.2833,-82.8667,87.78,84,58,7.0,PA,1699561948
142,cabras,39.93,8.5314,61.36,85,100,13.42,IT,1699561949
143,vilyuchinsk,52.9306,158.4028,26.92,83,84,5.03,RU,1699561952
144,vadso,70.0744,29.7487,28.56,86,100,14.97,NO,1699561954
145,livramento do brumado,-13.6431,-41.8406,85.15,37,80,6.17,BR,1699561956
146,derzhavinsk,51.1,66.3167,40.78,76,100,11.7,KZ,1699561958
147,broken hill,-31.95,141.4333,79.52,34,4,12.8,AU,1699561961
148,jinchang,38.4953,102.1739,30.38,43,65,2.77,CN,1699561966
149,susuman,62.7833,148.1667,-23.84,99,89,0.87,RU,1699561970
150,egilsstadir,65.2653,-14.3948,35.51,87,75,13.8,IS,1699561974
151,sinabang,2.4803,96.3801,78.1,85,100,3.4,ID,1699561976
152,toliara,-23.35,43.6667,73.53,67,38,8.23,MG,1699561980
153,tosontsengel,48.7567,98.2839,-3.17,97,87,3.69,MN,1699561984
154,floro,61.5996,5.0328,42.76,65,0,10.36,NO,1699561988
155,talnakh,69.4865,88.3972,24.21,90,100,18.28,RU,1699561992
156,puerto colombia,10.9878,-74.9547,87.89,79,53,14.58,CO,1699561995
157,balao,-2.9167,-79.8167,82.35,68,88,7.94,EC,1699561998
158,bubaque,11.2833,-15.8333,84.15,55,100,8.48,GW,1699562001
159,sao francisco do sul,-26.2433,-48.6381,70.05,94,100,4.14,BR,1699562005
160,taroa,8.7058,171.2275,77.54,96,100,12.24,MH,1699562008
161,shenjiamen,29.9576,122.298,65.7,90,100,11.25,CN,1699562014
162,lorengau,-2.0226,147.2712,80.56,84,100,12.64,PG,1699562019
163,kununurra,-15.7667,128.7333,82.38,65,94,4.61,AU,1699562020
164,bouna,9.2667,-3.0,76.41,82,100,4.36,CI,1699562021
165,rosario del tala,-32.3029,-59.1455,76.71,44,0,11.12,AR,1699562023
166,geraldton,-28.7667,114.6,64.81,63,100,12.66,AU,1699562025
167,bereeda,11.8704,51.0579,79.63,72,10,6.91,SO,1699562027
168,college,64.8569,-147.8028,35.55,89,100,11.5,US,1699561919
169,kalmunai,7.4167,81.8167,78.28,84,97,4.29,LK,1699562031
170,uturoa,-16.7333,-151.4333,79.56,81,3,14.27,PF,1699562033
171,shakawe,-18.3667,21.85,88.36,20,90,6.2,BW,1699562034
172,mardakan,40.4922,50.1389,64.35,68,0,18.41,AZ,1699562036
173,utrik,11.2278,169.8474,81.86,74,95,23.02,MH,1699562038
174,waddan,29.1614,16.139,71.38,33,58,7.14,LY,1699562039
175,arraial do cabo,-22.9661,-42.0278,80.46,65,0,11.5,BR,1699562041
176,coquimbo,-29.9533,-71.3436,64.13,77,100,10.36,CL,1699562043
177,naze,28.3667,129.4833,74.32,84,97,10.02,JP,1699562045
178,dunedin,-45.8742,170.5036,48.54,56,100,3.06,NZ,1699561849
179,lihue,21.9789,-159.3672,83.44,70,75,17.27,US,1699562049
180,lima,-12.0432,-77.0282,68.25,68,100,12.66,PE,1699561811
181,mount pearl,47.5166,-52.7813,38.32,96,100,24.16,CA,1699562052
182,kralendijk,12.15,-68.2667,85.98,79,40,19.57,BQ,1699562054
183,belyy yar,53.6039,91.3903,-5.91,92,40,0.0,RU,1699562056
184,takoradi,4.8845,-1.7554,79.32,85,44,8.1,GH,1699562012
185,qaqortoq,60.7167,-46.0333,26.47,89,44,4.68,GL,1699561469
186,pico truncado,-46.7949,-67.9573,67.41,18,0,11.07,AR,1699562060
187,campo belo,-20.8972,-45.2772,80.6,32,1,1.97,BR,1699562061
188,labrador city,52.9463,-66.9114,21.11,86,100,8.05,CA,1699561810
189,tokar,18.4254,37.729,83.82,57,64,14.85,SD,1699562066
190,vung tau,10.346,107.0843,80.92,83,19,10.85,VN,1699562067
191,san antonio de pale,-1.4014,5.6325,78.44,80,27,13.91,GQ,1699562071
192,zhuanghe,39.7008,122.9911,29.46,44,0,13.96,CN,1699562072
193,villemandeur,47.987,2.718,47.14,94,100,15.46,FR,1699562074
194,kavaratti,10.5669,72.642,82.83,75,98,6.46,IN,1699562077
195,bizerte,37.2744,9.8739,62.6,82,75,2.3,TN,1699562079
196,ancud,-41.8697,-73.8203,55.2,64,1,6.4,CL,1699562081
